centers_a,centers_p,centers_xz,centers_yz,counts_a,counts_p,counts_xz,counts_yz,l_edges_a,l_edges_p,l_edges_xz,l_edges_yz,norm_pdf_p,pdf_a,pdf_xz,pdf_yz
-174,3,-174,-174,43,0,37,47,-180,0,-180,-180,0.0,0.04507337526205451,0.03878406708595388,0.049266247379454925
-162,9,-162,-162,26,14,30,22,-168,6,-168,-168,0.06688405365907282,0.027253668763102725,0.031446540880503145,0.023060796645702306
-150,15,-150,-150,38,7,30,28,-156,12,-156,-156,0.020212908114498815,0.039832285115303984,0.031446540880503145,0.029350104821802937
-138,21,-138,-138,21,12,30,17,-144,18,-144,-144,0.02502528755827151,0.0220125786163522,0.031446540880503145,0.01781970649895178
-126,27,-126,-126,48,31,28,16,-132,24,-132,-132,0.051031921523268776,0.050314465408805034,0.029350104821802937,0.016771488469601678
-114,33,-114,-114,20,28,23,12,-120,30,-120,-120,0.03842167190087824,0.020964360587002098,0.02410901467505241,0.012578616352201259
-102,39,-102,-102,41,31,19,42,-108,36,-108,-108,0.03681432841603792,0.0429769392033543,0.019916142557651992,0.0440251572327044
-90,45,-90,-90,27,38,18,31,-96,42,-96,-96,0.04016294835173615,0.02830188679245283,0.018867924528301886,0.03249475890985325
-78,51,-78,-78,30,37,19,10,-84,48,-84,-84,0.03558165315264115,0.031446540880503145,0.019916142557651992,0.010482180293501049
-66,57,-66,-66,23,53,34,13,-72,54,-72,-72,0.04722929465057176,0.02410901467505241,0.03563941299790356,0.013626834381551363
-54,63,-54,-54,31,41,17,32,-60,60,-60,-60,0.034389824931000824,0.03249475890985325,0.01781970649895178,0.033542976939203356
-42,69,-42,-42,36,30,11,47,-48,66,-48,-48,0.024015769650099224,0.03773584905660377,0.011530398322851153,0.049266247379454925
-30,75,-30,-30,40,59,33,26,-36,72,-36,-36,0.04564941599312888,0.041928721174004195,0.03459119496855346,0.027253668763102725
-18,81,-18,-18,30,76,21,32,-24,78,-24,-24,0.05750699277232616,0.031446540880503145,0.0220125786163522,0.033542976939203356
-6,87,-6,-6,32,83,64,39,-12,84,-12,-12,0.062115599110634925,0.033542976939203356,0.06708595387840671,0.040880503144654086
6,93,6,6,41,75,50,47,0,90,0,0,0.056128553413224334,0.0429769392033543,0.05241090146750524,0.049266247379454925
18,99,18,18,24,59,44,29,12,96,12,12,0.04464358649430583,0.025157232704402517,0.04612159329140461,0.03039832285115304
30,105,30,30,32,43,27,28,24,102,24,24,0.03326991335092444,0.033542976939203356,0.02830188679245283,0.029350104821802937
42,111,42,42,24,28,38,23,36,108,36,36,0.022414718340092607,0.025157232704402517,0.039832285115303984,0.02410901467505241
54,117,54,54,32,50,26,23,48,114,48,48,0.041938810891464416,0.033542976939203356,0.027253668763102725,0.02410901467505241
66,123,66,66,30,31,40,30,60,120,60,60,0.02762468177674952,0.031446540880503145,0.041928721174004195,0.031446540880503145
78,129,78,78,57,34,36,49,72,126,72,72,0.03269665424837294,0.059748427672955975,0.03773584905660377,0.051362683438155136
90,135,90,90,28,27,30,44,84,132,84,84,0.028536831723601996,0.029350104821802937,0.031446540880503145,0.04612159329140461
102,141,102,102,31,14,19,11,96,138,96,96,0.01662582573627518,0.03249475890985325,0.019916142557651992,0.011530398322851153
114,147,114,114,17,20,42,28,108,144,108,108,0.027444051357770182,0.01781970649895178,0.0440251572327044,0.029350104821802937
126,153,126,126,22,14,27,51,120,150,120,120,0.023046674236314926,0.023060796645702306,0.02830188679245283,0.05345911949685535
138,159,138,138,30,7,34,49,132,156,132,132,0.014598084408991715,0.031446540880503145,0.03563941299790356,0.051362683438155136
150,165,150,150,27,6,34,38,144,162,144,144,0.01732534981242754,0.02830188679245283,0.03563941299790356,0.039832285115303984
162,171,162,162,32,6,30,39,156,168,156,156,0.028664594425316905,0.033542976939203356,0.031446540880503145,0.040880503144654086
174,177,174,174,41,0,63,51,168,174,168,168,0.0,0.0429769392033543,0.0660377358490566,0.05345911949685535
